sourcePack,recordPointer,frequencyHz,meanDb,standardDeviationDb,apvDb,automaticApplicationAllowed
research-peltor.json,/variants/5/attenuation_options/0,6300,44.9,3.6,,False
research-peltor.json,/variants/5/attenuation_options/0,8000,45.8,2.9,,False
research-peltor.json,/variants/5/attenuation_options/1,125,35.7,5.4,,False
research-peltor.json,/variants/5/attenuation_options/1,250,35.0,5.2,,False
research-peltor.json,/variants/5/attenuation_options/1,500,40.7,5.4,,False
research-peltor.json,/variants/5/attenuation_options/1,1000,39.0,3.9,,False
research-peltor.json,/variants/5/attenuation_options/1,2000,38.3,2.5,,False
research-peltor.json,/variants/5/attenuation_options/1,3150,41.7,4.4,,False
research-peltor.json,/variants/5/attenuation_options/1,4000,41.4,3.7,,False
research-peltor.json,/variants/5/attenuation_options/1,6300,44.0,4.1,,False
research-peltor.json,/variants/5/attenuation_options/1,8000,45.9,4.1,,False
research-peltor.json,/variants/5/attenuation_options/2,125,34.3,6.1,,False
research-peltor.json,/variants/5/attenuation_options/2,250,31.9,6.1,,False
research-peltor.json,/variants/5/attenuation_options/2,500,35.2,6.1,,False
research-peltor.json,/variants/5/attenuation_options/2,1000,34.1,5.2,,False
research-peltor.json,/variants/5/attenuation_options/2,2000,34.5,4.8,,False
research-peltor.json,/variants/5/attenuation_options/2,3150,38.6,4.4,,False
research-peltor.json,/variants/5/attenuation_options/2,4000,35.5,3.9,,False
research-peltor.json,/variants/5/attenuation_options/2,6300,38.2,3.9,,False
research-peltor.json,/variants/5/attenuation_options/2,8000,39.3,3.0,,False
research-peltor.json,/variants/6/attenuation,125,38.1,,,False
research-peltor.json,/variants/6/attenuation,250,35.5,,,False
research-peltor.json,/variants/6/attenuation,500,40.7,,,False
research-peltor.json,/variants/6/attenuation,1000,40.9,,,False
research-peltor.json,/variants/6/attenuation,2000,37.5,,,False
research-peltor.json,/variants/6/attenuation,4000,40.3,,,False
research-peltor.json,/variants/6/attenuation,8000,44.9,,,False
research-peltor.json,/comtac_v_manual_tables/0,125,13.6,,,False
research-peltor.json,/comtac_v_manual_tables/0,250,17.7,,,False
research-peltor.json,/comtac_v_manual_tables/0,500,28.8,,,False
research-peltor.json,/comtac_v_manual_tables/0,1000,31.9,,,False
research-peltor.json,/comtac_v_manual_tables/0,2000,32.3,,,False
research-peltor.json,/comtac_v_manual_tables/0,3150,39.3,,,False
research-peltor.json,/comtac_v_manual_tables/0,4000,39.9,,,False
research-peltor.json,/comtac_v_manual_tables/0,6300,42.1,,,False
research-peltor.json,/comtac_v_manual_tables/0,8000,41.4,,,False
research-peltor.json,/comtac_v_manual_tables/1,125,20.3,,,False
research-peltor.json,/comtac_v_manual_tables/1,250,26.4,,,False
research-peltor.json,/comtac_v_manual_tables/1,500,32.1,,,False
research-peltor.json,/comtac_v_manual_tables/1,1000,33.0,,,False
research-peltor.json,/comtac_v_manual_tables/1,2000,33.4,,,False
research-peltor.json,/comtac_v_manual_tables/1,3150,39.7,,,False
research-peltor.json,/comtac_v_manual_tables/1,4000,34.1,,,False
research-peltor.json,/comtac_v_manual_tables/1,6300,39.4,,,False
research-peltor.json,/comtac_v_manual_tables/1,8000,40.1,,,False
research-peltor.json,/tep_300_eu_full_table/tables/0,125,38.1,5.4,32.7,False
research-peltor.json,/tep_300_eu_full_table/tables/0,250,35.5,5.4,30.1,False
research-peltor.json,/tep_300_eu_full_table/tables/0,500,40.7,5.7,35.0,False
research-peltor.json,/tep_300_eu_full_table/tables/0,1000,40.9,5.8,35.1,False
research-peltor.json,/tep_300_eu_full_table/tables/0,2000,37.5,3.2,34.3,False
research-peltor.json,/tep_300_eu_full_table/tables/0,4000,40.3,3.3,37.0,False
research-peltor.json,/tep_300_eu_full_table/tables/0,8000,44.9,4.2,40.7,False
research-peltor.json,/tep_300_eu_full_table/tables/1,125,35.1,5.5,29.6,False
research-peltor.json,/tep_300_eu_full_table/tables/1,250,32.5,4.9,27.6,False
research-peltor.json,/tep_300_eu_full_table/tables/1,500,37.5,5.1,32.4,False
research-peltor.json,/tep_300_eu_full_table/tables/1,1000,37.9,4.8,33.1,False
research-peltor.json,/tep_300_eu_full_table/tables/1,2000,37.1,4.3,32.8,False
research-peltor.json,/tep_300_eu_full_table/tables/1,4000,40.8,4.6,36.2,False
research-peltor.json,/tep_300_eu_full_table/tables/1,8000,44.6,4.7,39.9,False
research-peltor.json,/tep_300_eu_full_table/tables/2,125,32.8,6.2,26.6,False
research-peltor.json,/tep_300_eu_full_table/tables/2,250,30.2,4.5,25.7,False
research-peltor.json,/tep_300_eu_full_table/tables/2,500,31.6,5.4,26.2,False
research-peltor.json,/tep_300_eu_full_table/tables/2,1000,31.2,4.4,26.8,False
research-peltor.json,/tep_300_eu_full_table/tables/2,2000,33.0,4.0,29.0,False
research-peltor.json,/tep_300_eu_full_table/tables/2,4000,34.4,4.8,29.6,False
research-peltor.json,/tep_300_eu_full_table/tables/2,8000,37.9,3.9,34.0,False
research-tactical.json,/families/0/variants/0/attenuation,63,17.8,3.2,14.6,False
research-tactical.json,/families/0/variants/0/attenuation,125,15.8,2.9,12.9,False
research-tactical.json,/families/0/variants/0/attenuation,250,19.3,3.2,16.1,False
research-tactical.json,/families/0/variants/0/attenuation,500,23.1,2.3,20.8,False
research-tactical.json,/families/0/variants/0/attenuation,1000,30.6,3.4,27.2,False
research-tactical.json,/families/0/variants/0/attenuation,2000,29.3,2.9,26.4,False
research-tactical.json,/families/0/variants/0/attenuation,4000,36.7,3.3,33.4,False
research-tactical.json,/families/0/variants/0/attenuation,8000,38.0,3.5,34.5,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,125,15.3,3.0,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,250,19.3,2.1,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,500,24.4,2.8,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,1000,29.1,2.8,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,2000,28.6,2.4,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,3150,31.1,3.3,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,4000,34.0,3.2,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,6300,36.1,3.3,,False
research-tactical.json,/families/0/variants/0/ansi_s319_foam,8000,34.7,2.9,,False
research-tactical.json,/families/0/variants/1/attenuation,63,18.1,3.7,14.4,False
research-tactical.json,/families/0/variants/1/attenuation,125,15.7,3.8,11.9,False
research-tactical.json,/families/0/variants/1/attenuation,250,20.1,2.3,17.8,False
research-tactical.json,/families/0/variants/1/attenuation,500,25.4,2.9,22.4,False
research-tactical.json,/families/0/variants/1/attenuation,1000,30.8,3.5,27.3,False
research-tactical.json,/families/0/variants/1/attenuation,2000,30.1,3.2,26.9,False
research-tactical.json,/families/0/variants/1/attenuation,4000,36.7,2.9,33.8,False
research-tactical.json,/families/0/variants/1/attenuation,8000,36.2,4.0,32.2,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,125,16.8,3.0,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,250,17.7,1.9,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,500,23.5,2.0,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,1000,28.1,2.6,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,2000,28.0,2.1,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,3150,34.3,2.7,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,4000,39.1,3.1,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,6300,42.3,2.6,,False
research-tactical.json,/families/0/variants/1/ansi_s319_gel,8000,39.7,2.3,,False
research-tactical.json,/families/2/variants/0/attenuation/headband,125,16.7,2.8,13.9,False
research-tactical.json,/families/2/variants/0/attenuation/headband,250,18.7,1.8,16.9,False
research-tactical.json,/families/2/variants/0/attenuation/headband,500,23.2,2.6,20.6,False
research-tactical.json,/families/2/variants/0/attenuation/headband,1000,25.4,2.5,22.9,False
research-tactical.json,/families/2/variants/0/attenuation/headband,2000,34.8,3.0,31.8,False
research-tactical.json,/families/2/variants/0/attenuation/headband,4000,43.8,3.1,40.7,False
research-tactical.json,/families/2/variants/0/attenuation/headband,8000,44.7,2.8,41.9,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,125,14.5,4.4,10.1,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,250,15.5,2.0,13.5,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,500,18.4,3.9,14.5,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,1000,22.4,4.3,18.1,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,2000,30.1,5.6,24.5,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,4000,45.6,5.9,39.7,False
research-tactical.json,/families/2/variants/0/attenuation/helmet,8000,43.4,7.2,36.2,False
research-consumer.json,/variants/0/attenuation,125,17.1,3.3,,False
research-consumer.json,/variants/0/attenuation,250,17.7,2.3,,False
research-consumer.json,/variants/0/attenuation,500,23.4,2.5,,False
research-consumer.json,/variants/0/attenuation,1000,28.2,1.4,,False
research-consumer.json,/variants/0/attenuation,2000,32.2,2.6,,False
research-consumer.json,/variants/0/attenuation,3150,37.2,3.9,,False
research-consumer.json,/variants/0/attenuation,4000,37.9,3.8,,False
research-consumer.json,/variants/0/attenuation,6300,40.2,3.8,,False
research-consumer.json,/variants/0/attenuation,8000,38.5,,,False
research-consumer.json,/variants/4/attenuation/ansi,125,17.7,3.1,,False
research-consumer.json,/variants/4/attenuation/ansi,250,19.1,1.9,,False
research-consumer.json,/variants/4/attenuation/ansi,500,24.7,2.3,,False
research-consumer.json,/variants/4/attenuation/ansi,1000,29.6,2.3,,False
research-consumer.json,/variants/4/attenuation/ansi,2000,30.1,2.2,,False
research-consumer.json,/variants/4/attenuation/ansi,3150,37.6,3.2,,False
research-consumer.json,/variants/4/attenuation/ansi,4000,40.0,3.4,,False
research-consumer.json,/variants/4/attenuation/ansi,6300,41.7,2.7,,False
research-consumer.json,/variants/4/attenuation/ansi,8000,40.5,3.1,,False
research-consumer.json,/variants/4/attenuation/en352,63,20.5,3.6,16.9,False
research-consumer.json,/variants/4/attenuation/en352,125,16.4,2.8,13.6,False
research-consumer.json,/variants/4/attenuation/en352,250,21.5,2.6,18.9,False
research-consumer.json,/variants/4/attenuation/en352,500,25.4,1.9,23.5,False
research-consumer.json,/variants/4/attenuation/en352,1000,29.7,2.2,27.5,False
research-consumer.json,/variants/4/attenuation/en352,2000,30.2,2.5,27.7,False
research-consumer.json,/variants/4/attenuation/en352,4000,41.6,3.0,38.6,False
research-consumer.json,/variants/4/attenuation/en352,8000,41.3,3.0,37.9,False
research-consumer.json,/variants/7/attenuation/electronicModule,63,26.1,6.4,19.7,False
research-consumer.json,/variants/7/attenuation/electronicModule,125,24.6,4.6,20.0,False
research-consumer.json,/variants/7/attenuation/electronicModule,250,23.2,3.8,19.4,False
research-consumer.json,/variants/7/attenuation/electronicModule,500,23.3,3.5,19.8,False
research-consumer.json,/variants/7/attenuation/electronicModule,1000,23.4,3.4,20.0,False
research-consumer.json,/variants/7/attenuation/electronicModule,2000,31.6,3.6,28.0,False
research-consumer.json,/variants/7/attenuation/electronicModule,4000,31.8,3.3,28.5,False
research-consumer.json,/variants/7/attenuation/electronicModule,8000,36.4,4.8,31.6,False
research-consumer.json,/variants/7/attenuation/passiveModule,63,24.2,4.5,19.7,False
research-consumer.json,/variants/7/attenuation/passiveModule,125,23.5,3.6,19.9,False
research-consumer.json,/variants/7/attenuation/passiveModule,250,22.3,2.8,19.5,False
research-consumer.json,/variants/7/attenuation/passiveModule,500,22.8,3.8,19.0,False
research-consumer.json,/variants/7/attenuation/passiveModule,1000,23.5,3.4,20.1,False
research-consumer.json,/variants/7/attenuation/passiveModule,2000,32.1,3.8,28.3,False
research-consumer.json,/variants/7/attenuation/passiveModule,4000,30.4,3.8,26.6,False
research-consumer.json,/variants/7/attenuation/passiveModule,8000,36.8,5.6,31.2,False
